0 60 -30 0.001 0.001 0.1 0.1 0.1 0.1 0.3 0.3
12.2 -11.1238 -nan -1823.31 -nan 1406.87 -nan 7.55225 -nan 0.234603 -nan
12.25 -10.3406 -nan -1845.14 -nan 1246.05 -nan 7.19773 -nan 0.234564 -nan
12.3 -9.69646 -nan -1866.6 -nan 1105.45 -nan 6.88766 -nan 0.234525 -nan
12.35 -9.16893 -nan -1887.77 -nan 981.276 -nan 6.61438 -nan 0.234484 -nan
12.4 -8.73455 -nan -1908.6 -nan 870.232 -nan 6.37081 -nan 0.234443 -nan
12.45 -8.3522 -nan -1928.89 -nan 765.956 -nan 6.14418 -nan 0.234401 -nan
12.5 -7.9758 -nan -1948.47 -nan 662.675 -nan 5.92207 -nan 0.234359 -nan
12.55 -7.56931 -nan -1967.17 -nan 556.713 -nan 5.69575 -nan 0.234316 -nan
12.6 -7.10864 -nan -1984.85 -nan 445.809 -nan 5.45954 -nan 0.234272 -nan
12.65 -6.57989 -nan -2001.39 -nan 328.714 -nan 5.21001 -nan 0.234228 -nan
12.7 -5.9778 -nan -2016.67 -nan 205.004 -nan 4.94557 -nan 0.234184 -nan
12.75 -5.30462 -nan -2030.59 -nan 74.9866 -nan 4.66622 -nan 0.234139 -nan
12.8 -4.56924 -nan -2043.04 -nan -60.3819 -nan 4.37338 -nan 0.234093 -nan
12.85 -3.78644 -nan -2053.92 -nan -199.568 -nan 4.0697 -nan 0.234047 -nan
12.9 -2.97598 -nan -2063.16 -nan -340.556 -nan 3.7589 -nan 0.234001 -nan
12.95 -2.16145 -nan -2070.69 -nan -480.973 -nan 3.44552 -nan 0.233954 -nan
13 -1.36891 -nan -2076.46 -nan -618.234 -nan 3.13461 -nan 0.233907 -nan
13.05 -0.625287 -nan -2080.43 -nan -749.716 -nan 2.83142 -nan 0.23386 -nan
13.1 0.0432784 -nan -2082.58 -nan -872.929 -nan 2.53812 -nan 0.233548 -nan
13.15 0.613097 -nan -2082.91 -nan -985.686 -nan 2.26249 -nan 0.233211 -nan
13.2 1.06434 -nan -2081.42 -nan -1086.24 -nan 2.00844 -nan 0.232878 -nan
13.25 1.38214 -nan -2078.12 -nan -1173.4 -nan 1.77843 -nan 0.232549 -nan
13.3 1.55721 -nan -2073.03 -nan -1246.55 -nan 1.57372 -nan 0.232222 -nan
13.35 1.58595 -nan -2066.13 -nan -1305.68 -nan 1.39429 -nan 0.231899 -nan
13.4 1.47012 -nan -2057.43 -nan -1351.32 -nan 1.23898 -nan 0.231579 -nan
13.45 1.21587 -nan -2046.87 -nan -1384.44 -nan 1.10566 -nan 0.231261 -nan
13.5 0.832634 -nan -2034.4 -nan -1406.34 -nan 0.991423 -nan 0.230947 -nan
13.55 0.331608 -nan -2019.93 -nan -1418.45 -nan 0.892953 -nan 0.230635 -nan
13.6 -0.275648 -nan -2003.35 -nan -1422.28 -nan 0.806753 -nan 0.230326 -nan
13.65 -0.978541 -nan -1984.51 -nan -1419.19 -nan 0.729418 -nan 0.23002 -nan
13.7 -1.76849 -nan -1963.23 -nan -1410.41 -nan 0.657827 -nan 0.229717 -nan
13.75 -2.63965 -nan -1939.31 -nan -1396.88 -nan 0.589251 -nan 0.229418 -nan
13.8 -3.58931 -nan -1912.51 -nan -1379.31 -nan 0.521401 -nan 0.229122 -nan
13.85 -4.61805 -nan -1882.56 -nan -1358.13 -nan 0.452398 -nan 0.22883 -nan
13.9 -5.72972 -nan -1849.16 -nan -1333.58 -nan 0.380697 -nan 0.228542 -nan
